,CGM,Prob_Evasao,Resultado.predicted(th=0.34069),CodMec,CodTurma,IRA_1T_22,IPM_1T_22,IRA_2T_22,IPM_2T_22,IRA_3T_22,IPM_3T_22,IRA_MF_22,IPM_MF_22,IRA_1T_23,IPM_1T_23,IRA_2T_23,IPM_2T_23,IRA_3T_23,IPM_3T_23,IRA_MF_23,IPM_MF_23,NumTurmas22,NumTurmas23,NumEscolas22,NumEscolas23,NumDisciplinas22,NumDisciplinas23,Idade,Sexo,DescNre,DescMun,TipoEstab,Distancia,Aprov22,RepFreq22,RepNota22,RepNotaFreq22,SemRegistros22,contrib_Aprov22,contrib_Bairro,contrib_BolsaFamilia,contrib_CepAluno,contrib_CepEscola,contrib_Cgm,contrib_CodEncam,contrib_CodMec,contrib_CodMun,contrib_CodNre,contrib_CodTurma,contrib_CoordX,contrib_CoordY,contrib_DataNasc,contrib_DescEncam,contrib_DescEscola,contrib_DescMun,contrib_DescNre,contrib_Distancia,contrib_IPM_1T_22,contrib_IPM_1T_23,contrib_IPM_2T_22,contrib_IPM_2T_23,contrib_IPM_3T_22,contrib_IPM_3T_23,contrib_IPM_MF_22,contrib_IPM_MF_23,contrib_IRA_1T_22,contrib_IRA_1T_23,contrib_IRA_2T_22,contrib_IRA_2T_23,contrib_IRA_3T_22,contrib_IRA_3T_23,contrib_IRA_MF_22,contrib_IRA_MF_23,contrib_Idade,contrib_Lat,contrib_Long,contrib_MotivoEncerramento,contrib_MotivoFalta,contrib_Num,contrib_NumDisciplinas22,contrib_NumDisciplinas23,contrib_NumEscolas22,contrib_NumEscolas23,contrib_NumTurmas22,contrib_NumTurmas23,contrib_RepFreq22,contrib_RepNota22,contrib_RepNotaFreq22,contrib_Rua,contrib_SemRegistros22,contrib_Serie,contrib_Sexo,contrib_TFM_22,contrib_TFM_23,contrib_TF_1T_22,contrib_TF_1T_23,contrib_TF_2T_22,contrib_TF_2T_23,contrib_TF_3T_22,contrib_TF_3T_23,contrib_TipoEstab,contrib_bias
92,1015474331,0.0047237775,0,41031520.0,2031019,9.62,9.45,8.94,8.9,9.8,9.6,9.45,9.32,9.46,9.15,9.5,8.55,9.62,9.1,9.53,8.93,1.0,1.0,1.0,1.0,7.0,7.0,11.0,M,LONDRINA,LONDRINA,NORMAL,6.98,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17604293,0.0,0.0,-0.039839137,0.0,0.0,0.0,0.0,0.0,0.00036512065,-3.6489004e-05,-0.027955545,-0.03092876,-0.032584276,-0.033469424,-0.094977714,-0.026052449,-0.17708927,-0.05426905,-0.31059873,-0.031488363,-0.14408529,0.003942153,-0.45047632,-0.1189247,-0.41839674,0.027807964,-0.59150433,-0.09687662,0.0,0.0,0.0,0.0,0.0,-0.001209016,-0.10237219,-0.00937343,-0.16551682,-0.012742304,-0.07966101,-0.019542597,0.010564115,-0.008131389,0.0,0.00047274365,0.0,-0.046774156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02545943,-2.0671852
93,1006651107,0.008366273,0,41021932.0,1978402,8.1,9.0,7.79,9.05,9.01,9.0,8.3,9.02,8.4,9.0,8.38,9.25,8.27,9.0,8.35,9.08,1.0,1.0,1.0,1.0,9.0,11.0,16.0,Não informado,LONDRINA,PORECATU,NORMAL,1.68,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035560142,0.0,0.0,-0.03059913,0.0,0.0,0.0,0.0,0.0,0.001849223,0.0076798447,-0.030618695,-0.034529474,-0.007989162,-0.04909253,-0.07915565,-0.02865381,-0.13645767,-0.06531192,-0.29008838,-0.05084725,-0.13463046,0.0069175437,-0.38938034,-0.08632418,-0.36779973,0.0052510337,-0.5344083,-0.114859514,0.0,0.0,0.0,0.0,0.0,0.008157022,-0.03957128,-0.010555927,-0.12234923,-0.017026752,-0.041889474,-0.028963935,-0.0013112515,-0.010768855,0.0,-0.0006623489,0.0,-0.059554875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009974922,-2.0671852
94,1006488826,0.03743581,0,41100166.0,1985278,7.35,7.35,7.63,7.35,7.8,8.25,7.59,7.65,7.58,8.4,7.88,8.47,8.2,8.03,7.88,8.3,1.0,2.0,1.0,1.0,13.0,9.0,16.0,F,GUARAPUAVA,GUARAPUAVA,NORMAL,0.95,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07687518,0.0,0.0,0.003717909,0.0,0.0,0.0,0.0,0.0,-0.013675423,-0.08327069,-0.05727311,-0.03199888,-0.0002555061,-0.013578766,-0.046830106,0.004144903,-0.03696946,-0.04665728,-0.10048382,-0.04630862,-0.08026452,-0.009128471,-0.17539969,-0.031457942,-0.092736065,0.0041191047,-0.17507069,-0.03467306,0.0,0.0,0.0,0.0,0.0,-0.000840784,-0.04239182,-0.0003091537,-0.08504509,-0.0007310288,0.007300506,-0.014514745,-0.004966931,-0.007419345,0.0,-0.008119541,0.0,0.13893452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020759275,-2.0671852
95,476120152,0.014692597,0,41030125.0,2038272,8.15,7.5,8.05,7.1,7.91,8.75,8.04,7.78,8.27,7.7,8.29,6.9,7.4,7.65,7.99,7.42,1.0,1.0,1.0,1.0,12.0,12.0,18.0,F,LONDRINA,LONDRINA,NORMAL,0.62,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0594346,0.0,0.0,-0.031951833,0.0,0.0,0.0,0.0,0.0,0.0021966388,0.008686582,-0.030559914,-0.038566563,-0.008948542,-0.04894399,-0.06279347,-0.02616282,-0.12743956,-0.09277844,-0.1935092,-0.036893446,-0.08914235,0.026794296,-0.38346907,-0.10511087,-0.31181943,-0.0021852115,-0.33921057,-0.041384146,0.0,0.0,0.0,0.0,0.0,0.0016294225,-0.034138236,-0.013306652,-0.1001919,-0.014725242,-0.044299427,-0.046210077,-0.0010565158,-0.008255656,0.0,-0.003748737,0.0,0.118452735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2056202e-05,-2.0671852
96,1005715861,0.007930669,0,41033604.0,1990378,7.0,6.5,6.73,7.0,6.73,6.9,6.82,6.8,7.29,5.8,6.94,7.9,6.96,8.55,7.06,7.42,1.0,1.0,1.0,1.0,8.0,10.0,16.0,F,LONDRINA,ROLANDIA,NORMAL,2.2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044194214,0.0,0.0,-0.053605147,0.0,0.0,0.0,0.0,0.0,-0.00034103944,0.006442555,0.003799548,-0.03257031,1.3610795e-05,-0.09305662,-0.11641784,-0.021248553,-0.1662303,-0.076403394,-0.25097552,-0.076946124,-0.14198585,-0.04336555,-0.08898835,-0.13101488,-0.5277103,-0.018668959,-0.35907412,-0.15470457,0.0,0.0,0.0,0.0,0.0,-0.002260508,-0.091066614,-0.015606893,-0.22316064,-0.014182827,-0.053401057,-0.03814816,-0.0025408973,-0.0057555735,0.0,-0.004838308,0.0,0.09882302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022486305,-2.0671852
97,1004400468,0.026371133,0,41033280.0,2008103,8.75,7.85,8.31,7.65,8.01,8.55,8.36,8.02,8.09,7.2,9.33,7.83,8.97,8.33,8.8,7.79,1.0,2.0,1.0,1.0,13.0,9.0,17.0,M,LONDRINA,LONDRINA,CIV.MIL,1.51,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031421058,0.0,0.0,0.0056098825,0.0,0.0,0.0,0.0,0.0,0.0024382109,0.01265849,-0.029204898,-0.03255625,0.0012195052,-0.014607665,-0.04159253,0.0017080671,-0.03912789,-0.04747417,-0.013888406,-0.04632427,-0.08863459,0.02259022,-0.30348143,-0.014473713,-0.18496844,0.013687134,-0.45223975,-0.011552574,0.0,0.0,0.0,0.0,0.0,-0.001058497,-0.052918874,-0.003415016,-0.08720801,-0.005638001,-0.008453175,-0.012516564,-0.0043093823,-0.011770891,0.0,-0.0022109912,0.0,-0.05112037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009319541,-2.0671852
98,1004055507,0.06783287,0,41033604.0,1989861,5.6,5.05,6.27,6.95,6.8,7.65,6.22,6.55,5.77,6.25,6.0,6.25,7.15,6.45,6.31,6.32,1.0,1.0,1.0,1.0,8.0,13.0,17.0,M,LONDRINA,ROLANDIA,NORMAL,1.76,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121129006,0.0,0.0,-0.048236463,0.0,0.0,0.0,0.0,0.0,-0.0008390159,0.02126265,0.008388373,-0.028191227,-0.001406875,-0.039707467,-0.051709637,-0.0133981,-0.15196112,-0.026518442,-0.13597491,0.01210524,0.045035668,-0.026343623,0.24524444,-0.09307728,-0.21974994,-0.025658024,0.10765067,-0.067399144,0.0,0.0,0.0,0.0,0.0,-0.003092593,0.008758591,0.00039010926,-0.04760163,-0.004077238,-0.032414008,-0.04153084,0.013459632,-0.009861293,0.0,0.0026407996,0.0,-0.07422315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036267403,-2.0671852
99,1006029473,0.28968337,0,41100476.0,2002599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48,6.45,7.03,6.25,7.11,5.75,6.87,6.15,0.0,1.0,0.0,1.0,0.0,10.0,14.0,F,GUARAPUAVA,GUARAPUAVA,NORMAL,1.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00049770455,0.0,0.0,0.0026127002,0.0,0.0,0.0,0.0,0.0,-0.02043339,-0.08815286,-0.049915984,-0.0019105675,0.015560302,0.046769835,0.023054155,0.008047164,-0.013116115,0.011872948,0.114404544,0.02934181,0.031136336,-0.008853054,0.21874,0.048594363,0.017093472,-0.0047481814,0.22036694,0.018346293,0.0,0.0,0.0,0.0,0.0,-0.0016527091,0.16591535,0.044765152,0.048601396,0.04321692,0.054121364,0.041308906,0.0033988093,-0.009088118,0.0,0.0024440454,0.0,0.15716021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017584423,-2.0671852
100,871527105,0.08739519,0,41031318.0,1999447,9.4,8.0,7.16,9.25,6.96,9.5,7.84,8.92,9.04,8.45,7.1,8.45,7.46,8.65,7.87,8.52,1.0,1.0,1.0,1.0,7.0,7.0,18.0,M,LONDRINA,LONDRINA,INSTITUTO,3.84,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17609532,0.0,0.0,0.0031419627,0.0,0.0,0.0,0.0,0.0,0.0012795659,0.014472155,0.0048540784,-0.03733799,-0.0014373484,0.018377284,-0.020672893,-0.023139683,-0.0016176993,0.0039194697,-0.07158603,0.014696743,0.042692825,-0.0074698003,0.13837528,0.0033567583,-0.021709084,0.013522737,-0.06362588,0.05213038,0.0,0.0,0.0,0.0,0.0,-0.00018848693,-0.017548952,-0.004825548,-0.034619708,-0.003827994,-0.0075681126,0.004600731,0.0027267681,-0.0070257825,0.0,0.004190236,0.0,-0.07725678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023461612,-2.0671852
101,1011376840,0.021124326,0,41104447.0,2016992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.57,6.4,7.67,7.4,8.04,6.15,7.76,6.65,0.0,1.0,0.0,1.0,0.0,9.0,16.0,Não informado,,,,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.076647624,0.0,0.0,-0.035723522,0.0,0.0,0.0,0.0,0.0,0.005990803,0.016578523,0.060932193,-0.02703966,0.0014634933,-0.0372981,-0.05631306,0.001985629,-0.14461523,-0.02103826,-0.16012381,0.010161828,-0.091222025,-0.013558622,-0.23576488,-0.08746344,-0.28393906,-0.010062942,-0.21833375,-0.09936795,0.0,0.0,0.0,0.0,0.0,-0.00202017,-0.08678274,-0.004568516,-0.057742465,-0.0055638524,-0.041621912,-0.009613501,-0.0033482383,-0.010714025,0.0,-0.00011770579,0.0,-0.063510895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018209169,-2.0671852
