CodMec,CodTurma,IRA_1T_22,IPM_1T_22,IRA_2T_22,IPM_2T_22,IRA_3T_22,IPM_3T_22,IRA_MF_22,IPM_MF_22,IRA_1T_23,IPM_1T_23,IRA_2T_23,IPM_2T_23,IRA_3T_23,IPM_3T_23,IRA_MF_23,IPM_MF_23,NumTurmas22,NumTurmas23,NumEscolas22,NumEscolas23,NumDisciplinas22,NumDisciplinas23,Idade,Sexo,DescNre,DescMun,TipoEstab,Distancia,RepFreq22,RepNota22,RepNotaFreq22,SemRegistros22,contrib_Aprov22,contrib_Bairro,contrib_BolsaFamilia,contrib_CepAluno,contrib_CepEscola,contrib_Cgm,contrib_CodEncam,contrib_CodMec,contrib_CodMun,contrib_CodNre,contrib_CodTurma,contrib_CoordX,contrib_CoordY,contrib_DataNasc,contrib_DescEncam,contrib_DescEscola,contrib_DescMun,contrib_DescNre,contrib_Distancia,contrib_IPM_1T_22,contrib_IPM_1T_23,contrib_IPM_2T_22,contrib_IPM_2T_23,contrib_IPM_3T_22,contrib_IPM_3T_23,contrib_IPM_MF_22,contrib_IPM_MF_23,contrib_IRA_1T_22,contrib_IRA_1T_23,contrib_IRA_2T_22,contrib_IRA_2T_23,contrib_IRA_3T_22,contrib_IRA_3T_23,contrib_IRA_MF_22,contrib_IRA_MF_23,contrib_Idade,contrib_Lat,contrib_Long,contrib_MotivoEncerramento,contrib_MotivoFalta,contrib_Num,contrib_NumDisciplinas22,contrib_NumDisciplinas23,contrib_NumEscolas22,contrib_NumEscolas23,contrib_NumTurmas22,contrib_NumTurmas23,contrib_RepFreq22,contrib_RepNota22,contrib_RepNotaFreq22,contrib_Rua,contrib_SemRegistros22,contrib_Serie,contrib_Sexo,contrib_TFM_22,contrib_TFM_23,contrib_TF_1T_22,contrib_TF_1T_23,contrib_TF_2T_22,contrib_TF_2T_23,contrib_TF_3T_22,contrib_TF_3T_23,contrib_TipoEstab,contrib_bias
41031750.0,1992646,7.23,6.75,7.37,6.85,7.82,9.4,7.47,7.67,7.93,8.7,7.8,7.35,2.27,0.7,6.0,5.58,1.0,1.0,1.0,1.0,8.0,13.0,16.0,F,LONDRINA,LONDRINA,NORMAL,1.62,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31093398,0.0,0.0,0.024345458,0.0,0.0,0.0,0.0,0.0,0.002938569,0.06532583,0.08767056,0.2204588,0.040155496,0.09658191,0.30975723,0.07582452,0.6548149,0.12279036,0.4633018,0.15181377,0.56425774,0.07102931,0.49320933,0.19894475,1.2988982,0.021292943,1.2117743,0.18243937,0.0,0.0,0.0,0.0,0.0,-0.00096256426,0.33767015,0.06523999,0.5464627,0.05849909,0.21552317,0.08865248,0.0031726318,-0.0057323435,0.0,-0.0008671955,0.0,0.1296792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08693667,-2.0671852
41152719.0,1979268,6.79,6.3,5.71,6.75,6.3,5.65,6.27,6.23,6.65,4.65,5.73,3.65,0.98,0.0,4.45,2.77,1.0,1.0,1.0,1.0,13.0,13.0,16.0,M,GUARAPUAVA,TURVO,NORMAL,7.82,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12306096,0.0,0.0,0.015952654,0.0,0.0,0.0,0.0,0.0,0.0049634995,-0.030376371,0.14460607,0.16019131,0.044007037,0.06829043,0.26707423,0.05329869,0.65941465,0.14598742,0.40436682,0.15010981,0.6094083,0.08626341,0.65591633,0.13580027,1.2166597,0.00036701263,1.2131158,0.25843522,0.0,0.0,0.0,0.0,0.0,0.008052972,0.28463966,0.048793185,0.52313083,0.04335856,0.20073923,0.09363644,0.017225293,-0.010740849,0.0,0.0038902017,0.0,-0.028153894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052943706,-2.0671852
41031911.0,2015077,9.39,9.8,9.49,9.5,9.48,8.85,9.45,9.38,9.28,10.0,9.53,9.5,9.61,9.85,9.47,9.78,1.0,1.0,1.0,1.0,12.0,12.0,17.0,F,LONDRINA,TAMARANA,NORMAL,7.82,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14050521,0.0,0.0,-0.005553378,0.0,0.0,0.0,0.0,0.0,0.0012039593,0.0016967781,-0.024417236,-0.022075385,-0.036568377,0.0043627405,-0.058319706,-0.031740203,-0.112073794,-0.02875058,-0.032085035,-0.011016709,-0.14802058,0.010480918,-0.38117948,-0.039434254,-0.2234186,0.015304624,-0.55323917,-0.017531544,0.0,0.0,0.0,0.0,0.0,-0.0009356924,-0.03825307,-0.009536014,-0.14154018,-0.0134735,-0.0748084,-0.025638485,-0.006128418,-0.011981941,0.0,-0.00022772046,0.0,0.09344761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026402658,-2.0671852
41355156.0,1982310,6.47,6.4,6.95,6.55,7.57,8.85,6.99,7.27,6.99,7.0,7.77,6.5,7.84,7.4,7.53,6.97,1.0,1.0,1.0,1.0,8.0,13.0,16.0,M,LONDRINA,LONDRINA,NORMAL,1.14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33555126,0.0,0.0,0.0020563614,0.0,0.0,0.0,0.0,0.0,0.004226552,0.03032758,-0.05948514,-0.03385729,-0.0011243557,0.009172716,0.029566249,-0.026589904,-0.040912367,-0.035101227,0.015624814,-0.013490844,-0.061867416,-0.03763415,-0.102573715,0.009208174,-0.06988079,-0.0030471943,-0.110210046,-0.003501569,0.0,0.0,0.0,0.0,0.0,-0.0021191307,0.07673248,0.010354112,-0.0017767051,0.009256908,0.00533391,-0.027448324,-0.0018807442,-0.007937288,0.0,0.009089708,0.0,-0.07928349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00029153444,-2.0671852
41033280.0,1826119,6.7,9.0,7.12,6.6,6.11,6.1,6.64,7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,16.0,Não informado,LONDRINA,LONDRINA,CIV.MIL,1.34,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17501676,0.0,0.0,0.002382035,0.0,0.0,0.0,0.0,0.0,0.0030821257,-0.013980983,0.014433918,-0.033068903,-0.016687369,-0.10511329,-0.16564476,-0.041961737,-0.23392211,-0.057216328,-0.55502367,-0.12870534,-0.075619824,0.006056496,-0.43289635,-0.17637366,-0.65289736,-0.016487196,-0.66068566,-0.107094385,0.0,0.0,0.0,0.0,0.0,0.0037631753,-0.2398765,-0.03430656,-0.36628962,-0.018866882,-0.11843453,-0.003765141,-0.03725959,-0.0059474097,0.0,-0.0032058137,0.0,-0.08581056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.067048125,-2.0671852
41028406.0,1980131,6.42,6.0,6.36,6.0,7.58,6.75,6.79,6.25,5.92,6.4,5.54,6.0,7.5,6.0,6.32,6.13,1.0,1.0,1.0,1.0,12.0,12.0,18.0,M,LONDRINA,CAMBE,NORMAL,3.84,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13449714,0.0,0.0,0.0027978122,0.0,0.0,0.0,0.0,0.0,0.0046980265,0.030457513,0.022771386,-0.022057742,0.002662582,0.007814763,0.055343647,-0.014127338,0.0027920892,0.029395072,0.099220015,0.019932378,0.13540816,-0.016993739,0.49687406,0.013135091,0.073769525,-0.007318902,0.42609546,0.108393244,0.0,0.0,0.0,0.0,0.0,0.006060394,0.045458626,0.0028708046,0.024134088,-0.00027663665,0.011762271,-0.010573496,0.008346001,-0.013056128,0.0,0.012721027,0.0,-0.079274945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0057854764,-2.0671852
41381580.0,2027473,6.43,6.15,6.65,6.0,6.6,6.55,6.56,6.23,6.1,6.0,7.19,5.65,6.74,5.65,6.68,5.77,1.0,1.0,1.0,1.0,8.0,9.0,13.0,M,LONDRINA,LONDRINA,NORMAL,1.94,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49468327,0.0,0.0,0.025235483,0.0,0.0,0.0,0.0,0.0,0.0019529111,0.07919318,0.028630905,0.2514937,0.044780813,0.11086826,0.32680044,0.12206254,0.4707916,0.08710395,0.53488404,0.1329381,0.4197676,0.034817707,0.5349092,0.22184223,0.99912053,0.018606571,1.0202318,0.045720514,0.0,0.0,0.0,0.0,0.0,-0.0009827099,0.3338735,0.08117286,0.47319362,0.072706915,0.19683409,0.12757403,0.01010439,-0.008848946,0.0,0.0014483032,0.0,-0.017279526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11442905,-2.0671852
41031857.0,1995642,7.75,7.6,8.0,7.95,8.58,6.65,8.11,7.4,7.75,8.6,8.07,7.45,8.27,7.7,8.03,7.92,1.0,1.0,1.0,1.0,12.0,12.0,18.0,M,LONDRINA,LONDRINA,NORMAL,3.84,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18194085,0.0,0.0,-0.0009794298,0.0,0.0,0.0,0.0,0.0,0.0037087416,0.016767407,-0.005217392,-0.034933727,-0.0054749832,-0.01264665,-0.02185637,-0.018179953,-0.042640977,-0.047891278,-0.043932456,-0.05086336,-0.08688885,-0.0075232796,-0.19564441,-0.023461256,-0.13335249,0.017048206,-0.24527657,0.011108185,0.0,0.0,0.0,0.0,0.0,0.0016287949,-0.002612202,-0.009244322,-0.084470816,-0.010788758,-0.019153556,-0.040466264,-0.0030731405,-0.011275669,0.0,-0.00018406907,0.0,-0.07686855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024364222,-2.0671852
41100379.0,1816762,3.5,1.55,5.19,5.4,2.39,4.15,3.69,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,16.0,Não informado,GUARAPUAVA,GUARAPUAVA,NORMAL,3.19,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20706664,0.0,0.0,-0.05612312,0.0,0.0,0.0,0.0,0.0,-0.008158962,-0.03522777,0.0371366,-0.02625536,-0.0030025905,-0.094198875,-0.16079031,-0.038278867,-0.25823381,-0.055278975,-0.54934263,-0.10625355,-0.10513424,0.029197471,-0.42790106,-0.17051104,-0.6737246,-0.009934233,-0.71784663,-0.1576988,0.0,0.0,0.0,0.0,0.0,0.0035939556,-0.18394542,-0.022552751,-0.34368795,-0.0119667575,-0.10077212,-0.003309541,-0.034824386,0.12798247,0.0,-0.0026817985,0.0,-0.08351363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06764654,-2.0671852
41031709.0,1995714,8.65,8.15,7.68,9.1,8.17,8.8,8.17,8.68,6.71,7.55,7.36,7.5,7.59,7.5,7.22,7.52,1.0,1.0,1.0,1.0,8.0,10.0,16.0,Não informado,LONDRINA,LONDRINA,NORMAL,2.66,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20622283,0.0,0.0,0.0048503224,0.0,0.0,0.0,0.0,0.0,0.005626629,0.017532311,-0.00070813234,-0.03584864,-0.01307204,-0.001619176,-0.014738492,-0.028404903,-0.013557427,-0.008754908,-0.021021642,-0.0464049,-0.024151256,-0.002907899,-0.16668491,0.009014993,-0.08425341,0.005716517,-0.01233416,-0.019825453,0.0,0.0,0.0,0.0,0.0,-0.0020104514,-0.038450673,-0.010366256,-0.07770529,-0.014798154,-0.018217044,-0.016698362,0.0016801765,-0.011726945,0.0,-0.0028963475,0.0,-0.07455916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016465843,-2.0671852
